"","month","year","mean_airt","datetime"
"1",1,2009,-8.24072580645161,2009-01-01
"2",1,2010,-4.83088037634409,2010-01-01
"3",1,2011,-6.51162634408602,2011-01-01
"4",2,2009,-2.87678571428571,2009-02-01
"5",2,2010,-3.28876488095238,2010-02-01
"6",2,2011,-4.22667410714286,2011-02-01
"7",3,2009,0.825975773889637,2009-03-01
"8",3,2010,4.31396366083445,2010-03-01
"9",3,2011,0.268337819650067,2011-03-01
"10",4,2009,8.41774305555556,2009-04-01
"11",4,2010,9.64590277777778,2010-04-01
"12",4,2011,7.56184027777778,2011-04-01
"13",5,2009,13.2632056451613,2009-05-01
"14",5,2010,15.0965389784946,2010-05-01
"15",5,2011,14.1860887096774,2011-05-01
"16",6,2009,16.12625,2009-06-01
"17",6,2010,18.4875347222222,2010-06-01
"18",6,2011,17.2684027777778,2011-06-01
"19",7,2009,18.4612100840336,2009-07-01
"20",7,2010,21.9696572580645,2010-07-01
"21",7,2011,21.6682459677419,2011-07-01
"22",8,2009,20.1523185483871,2009-08-01
"23",8,2010,20.1023857526882,2010-08-01
"24",8,2011,19.6130376344086,2011-08-01
"25",9,2009,14.4345486111111,2009-09-01
"26",9,2010,17.0063194444444,2010-09-01
"27",9,2011,17.0240277777778,2011-09-01
"28",10,2009,7.82765456989247,2009-10-01
"29",10,2010,9.26689075630252,2010-10-01
"30",10,2011,9.4960685483871,2011-10-01
"31",11,2009,6.05229166666667,2009-11-01
"32",11,2010,3.62305555555556,2010-11-01
"33",11,2011,6.77649305555556,2011-11-01
"34",12,2009,-3.42896505376344,2009-12-01
"35",12,2010,-3.86979166666667,2010-12-01
"36",12,2011,1.01182795698925,2011-12-01
