"","meanNDVI","site","year","julianDay","Date"
"1",0.52978,"SJER","2011",46,2011-02-15
"2",0.554368,"SJER","2011",62,2011-03-03
"3",0.601096,"SJER","2011",94,2011-04-04
"4",0.555836,"SJER","2011",110,2011-04-20
"5",0.538336,"SJER","2011",126,2011-05-06
"6",0.400868,"SJER","2011",142,2011-05-22
"7",0.44524,"SJER","2011",158,2011-06-07
"8",0.407492,"SJER","2011",174,2011-06-23
"9",0.401524,"SJER","2011",190,2011-07-09
"10",0.37426,"SJER","2011",206,2011-07-25
"11",0.367052,"SJER","2011",222,2011-08-10
"12",0.355896,"SJER","2011",238,2011-08-26
"13",0.349308,"SJER","2011",270,2011-09-27
"14",0.439068,"SJER","2011",286,2011-10-13
"15",0.468384,"SJER","2011",302,2011-10-29
